reciter_id	name_en	name_ar	country	slug	riwayah	style	recording_context	recording_year	source	channel	audio_category	chapter_count	codec	container	sample_rate_hz	channels	bitrate_mode	bitrate_kbps_nominal	total_duration_sec	state
abbadi_houssem_eddine	Abbadi Houssem Eddine	عبادي حسام الدين		abbadi_houssem_eddine_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	48	mp3	mp3	48000	2	mixed		28986	
abdelaziz_al_garaani	Abdelaziz Al-Garaani	عبد العزيز القرعاني		abdelaziz_al_garaani_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	85	mp3	mp3	44100	2	cbr	320	9140	
abdelaziz_sheim	Abdelaziz Sheim	عبد العزيز سحيم		abdelaziz_sheim_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	26	mp3	mp3	44100	2	mixed		16297	
abdelaziz_sheim	Abdelaziz Sheim	عبد العزيز سحيم		abdelaziz_sheim_warsh_mp3quran	warsh_an_nafi	murattal			mp3quran	mp3quran	by_surah	15	mp3	mp3	48000	2	mixed		8371	
abdelhamid_ehsain	Abdelhamid Ehsain	عبد الحميد إحساين	Morocco	abdelhamid_ehsain_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	44100	2	cbr	64	67477	
abdelmoujib_benkirane	Abdelmoujib Benkirane	عبد المجيب بنكيران	Morocco	abdelmoujib_benkirane_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	22050	2	mixed		92969	
abdelmoujib_benkirane	Abdelmoujib Benkirane	عبد المجيب بنكيران	Morocco	abdelmoujib_benkirane_warsh_tvquran	warsh_an_nafi	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	44100	1	mixed		92246	
abdelrahman_benmoussa	Abdelrahman Benmoussa	عبد الرحمن بن موسى	Morocco	abdelrahman_benmoussa_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	44100	2	cbr	64	111213	
abdelrahman_benmoussa	Abdelrahman Benmoussa	عبد الرحمن بن موسى	Morocco	abdelrahman_benmoussa_warsh_tvquran	warsh_an_nafi	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	44100	2	cbr	128	106670	
abdul_munim_abdul_mubdi	Abdul-Mun'im Abdul-Mubdi	عبد المنعم عبد المبدئ		abdul_munim_abdul_mubdi_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	cbr	128	105706	
abdulaziz_al_ahmed	Abdulaziz Al-Ahmed	عبد العزيز الأحمد		abdulaziz_al_ahmed_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	192	70963	
abdulaziz_al_ahmed	Abdulaziz Al-Ahmed	عبد العزيز الأحمد		abdulaziz_al_ahmed_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		74473	
abdulaziz_al_ahmed	Abdulaziz Al-Ahmed	عبد العزيز الأحمد		abdulaziz_al_ahmed_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	71037	
abdulaziz_al_asiri	Abdulaziz Al-Asiri	عبد العزيز العسيري		abdulaziz_al_asiri_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	55	mp3	mp3	44100	2	cbr	128	72833	
abdulaziz_al_asiri	Abdulaziz Al-Asiri	عبد العزيز العسيري		abdulaziz_al_asiri_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	72	mp3	mp3	44100	2	mixed		110583	
abdulaziz_al_karani	Abdulaziz Al-Karani	عبد العزيز الكرعاني		abdulaziz_al_karani_warsh_tvquran	warsh_an_nafi	murattal			tvquran	tvquran	by_surah	71	mp3	mp3	24000	2	mixed		49630	
abdulaziz_al_turki	Abdulaziz Al-Turki	عبد العزيز التركي		abdulaziz_al_turki_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	mixed		93268	
abdulaziz_az_zahrani	Abdulaziz Az-Zahrani	عبد العزيز الزهراني	Saudi Arabia	abdulaziz_az_zahrani_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	115346	
abdulaziz_az_zahrani	Abdulaziz Az-Zahrani	عبد العزيز الزهراني	Saudi Arabia	abdulaziz_az_zahrani_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	cbr	128	115267	
abdulbadi_ghailan	Abdulbadi Ghailan	عبد البديع غيلان		abdulbadi_ghailan_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	256	92499	
abdulbari_ath_thubaity	Abdulbari Ath-Thubaity	عبد البارئ الثبيتي	Saudi Arabia	abdulbari_ath_thubaity_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	71256	
abdulbari_ath_thubaity	Abdulbari Ath-Thubaity	عبد البارئ الثبيتي	Saudi Arabia	abdulbari_ath_thubaity_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		71203	
abdulbari_ath_thubaity	Abdulbari Ath-Thubaity	عبد البارئ الثبيتي	Saudi Arabia	abdulbari_ath_thubaity_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	71293	
abdulbari_mohammed	Abdulbari Mohammed	عبد البارئ محمد		abdulbari_mohammed_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	22050	2	cbr	96	130934	
abdulbari_mohammed	Abdulbari Mohammed	عبد البارئ محمد		abdulbari_mohammed_muallim_mp3quran	hafs_an_asim	muallim			mp3quran	mp3quran	by_surah	91	mp3	mp3	44100	2	cbr	128	139240	
